"naam","uri_naam","uri_amco","amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio"
"Ee","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ee","http://www.gemeentegeschiedenis.nl/amco/11156",11156,NA,0,"oudsher","1816","Friesland","noord"
"Ferwerd","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ferwerd","http://www.gemeentegeschiedenis.nl/amco/11345",11345,NA,0,"oudsher","1816","Friesland","noord"
"Ferwerderadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ferwerderadeel","http://www.gemeentegeschiedenis.nl/amco/11284",11284,"68",0,"1816","1999","Friesland","noord"
"Ferwerderadiel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ferwerderadiel","http://www.gemeentegeschiedenis.nl/amco/11284",11284,"1722",2755918,"1999","heden","Friesland","noord"
"Franeker","http://www.gemeentegeschiedenis.nl/gemeentenaam/Franeker","http://www.gemeentegeschiedenis.nl/amco/11226",11226,"69",0,"oudsher","1984","Friesland","noord"
"Franekeradeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Franekeradeel","http://www.gemeentegeschiedenis.nl/amco/10404",10404,"70",2755843,"1816","heden","Friesland","noord"
"Gaasterland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gaasterland","http://www.gemeentegeschiedenis.nl/amco/10036",10036,"71",0,"1816","1985","Friesland","noord"
"Gaasterlân-Sleat","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gaasterlan-Sleat","http://www.gemeentegeschiedenis.nl/amco/10036",10036,"653",6544301,"1985","heden","Friesland","noord"
"Gorredijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gorredijk","http://www.gemeentegeschiedenis.nl/amco/10861",10861,NA,0,"oudsher","1816","Friesland","noord"
"Grouw","http://www.gemeentegeschiedenis.nl/gemeentenaam/Grouw","http://www.gemeentegeschiedenis.nl/amco/11409",11409,NA,0,"oudsher","1816","Friesland","noord"
"Hallum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hallum","http://www.gemeentegeschiedenis.nl/amco/11284",11284,NA,0,"oudsher","1816","Friesland","noord"
"Hardegarijp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hardegarijp","http://www.gemeentegeschiedenis.nl/amco/11403",11403,NA,0,"oudsher","1816","Friesland","noord"
"Harlingen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Harlingen","http://www.gemeentegeschiedenis.nl/amco/10909",10909,"72",2754816,"oudsher","heden","Friesland","noord"
"Haske","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haske","http://www.gemeentegeschiedenis.nl/amco/10687",10687,NA,0,"oudsher","1816","Friesland","noord"
"Haskerland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haskerland","http://www.gemeentegeschiedenis.nl/amco/10022",10022,"73",0,"1816","1984","Friesland","noord"
"Heeg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeg","http://www.gemeentegeschiedenis.nl/amco/10975",10975,NA,0,"oudsher","1816","Friesland","noord"
"Heerenveen [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerenveen_1","http://www.gemeentegeschiedenis.nl/amco/10680",10680,NA,0,"oudsher","1816","Friesland","noord"
"Heerenveen [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerenveen_2","http://www.gemeentegeschiedenis.nl/amco/10680",10680,"74",2754668,"1934","heden","Friesland","noord"
"Hemelumer Oldeferd","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hemelumer_Oldeferd","http://www.gemeentegeschiedenis.nl/amco/10334",10334,"75",0,"1956","1984","Friesland","noord"
"Hemelumer Oldephaert en Noordwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hemelumer_Oldephaert_en_Noordwolde","http://www.gemeentegeschiedenis.nl/amco/10334",10334,"1260",0,"1816","1956","Friesland","noord"
"Hennaarderadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hennaarderadeel","http://www.gemeentegeschiedenis.nl/amco/10877",10877,"76",0,"1816","1984","Friesland","noord"
"Hindeloopen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hindeloopen","http://www.gemeentegeschiedenis.nl/amco/10672",10672,"77",0,"oudsher","1984","Friesland","noord"
"Holwerd","http://www.gemeentegeschiedenis.nl/gemeentenaam/Holwerd","http://www.gemeentegeschiedenis.nl/amco/11172",11172,NA,0,"oudsher","1816","Friesland","noord"
"Huizum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Huizum","http://www.gemeentegeschiedenis.nl/amco/10525",10525,NA,0,"oudsher","1816","Friesland","noord"
"Idaarderadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Idaarderadeel","http://www.gemeentegeschiedenis.nl/amco/10815",10815,"78",0,"1816","1984","Friesland","noord"
"IJlst","http://www.gemeentegeschiedenis.nl/gemeentenaam/IJlst","http://www.gemeentegeschiedenis.nl/amco/11062",11062,"102",0,"oudsher","1984","Friesland","noord"
"Jelsum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Jelsum","http://www.gemeentegeschiedenis.nl/amco/10645",10645,NA,0,"oudsher","1816","Friesland","noord"
"Jorwerd","http://www.gemeentegeschiedenis.nl/gemeentenaam/Jorwerd","http://www.gemeentegeschiedenis.nl/amco/11251",11251,NA,0,"oudsher","1816","Friesland","noord"
"Joure","http://www.gemeentegeschiedenis.nl/gemeentenaam/Joure","http://www.gemeentegeschiedenis.nl/amco/10022",10022,NA,0,"oudsher","1816","Friesland","noord"
"De Knijpe","http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Knijpe","http://www.gemeentegeschiedenis.nl/amco/11018",11018,NA,0,"oudsher","1816","Friesland","noord"
"Kollum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kollum","http://www.gemeentegeschiedenis.nl/amco/10984",10984,NA,0,"oudsher","1816","Friesland","noord"
"Kollumerland en Nieuwkruisland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kollumerland_en_Nieuwkruisland","http://www.gemeentegeschiedenis.nl/amco/10984",10984,"79",2752523,"1816","heden","Friesland","noord"
"Koudum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Koudum","http://www.gemeentegeschiedenis.nl/amco/10334",10334,NA,0,"oudsher","1816","Friesland","noord"
"Langezwaag","http://www.gemeentegeschiedenis.nl/gemeentenaam/Langezwaag","http://www.gemeentegeschiedenis.nl/amco/10770",10770,NA,0,"oudsher","1816","Friesland","noord"
"Langweer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Langweer","http://www.gemeentegeschiedenis.nl/amco/10086",10086,NA,0,"oudsher","1816","Friesland","noord"
"Leeuwarden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leeuwarden","http://www.gemeentegeschiedenis.nl/amco/11228",11228,"80",2751791,"oudsher","heden","Friesland","noord"
"Leeuwarderadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leeuwarderadeel","http://www.gemeentegeschiedenis.nl/amco/10851",10851,"81",2751790,"1816","heden","Friesland","noord"
"Lemmer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lemmer","http://www.gemeentegeschiedenis.nl/amco/10142",10142,NA,0,"oudsher","1816","Friesland","noord"
"Lemsterland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lemsterland","http://www.gemeentegeschiedenis.nl/amco/10142",10142,"82",2751721,"1816","heden","Friesland","noord"
"Lippenhuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lippenhuizen","http://www.gemeentegeschiedenis.nl/amco/10507",10507,NA,0,"oudsher","1816","Friesland","noord"
"Littenseradeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Littenseradeel","http://www.gemeentegeschiedenis.nl/amco/10422",10422,"103",0,"1984","1985","Friesland","noord"
"Littenseradiel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Littenseradiel","http://www.gemeentegeschiedenis.nl/amco/10422",10422,"140",6544300,"1985","heden","Friesland","noord"
"Makkum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Makkum","http://www.gemeentegeschiedenis.nl/amco/10926",10926,NA,0,"oudsher","1816","Friesland","noord"
"Marrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Marrum","http://www.gemeentegeschiedenis.nl/amco/10475",10475,NA,0,"oudsher","1816","Friesland","noord"
"Marsum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Marsum","http://www.gemeentegeschiedenis.nl/amco/10778",10778,NA,0,"oudsher","1816","Friesland","noord"
"Menaldum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Menaldum","http://www.gemeentegeschiedenis.nl/amco/11144",11144,NA,0,"oudsher","1816","Friesland","noord"
