"amco","naam","uri_naam","uri_amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio","gm_naam","cbscode","regio2"
10071,"Veldhoven en Meerveldhoven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veldhoven_en_Meerveldhoven","http://www.gemeentegeschiedenis.nl/amco/10071","1206",0,"oudsher","1921","Noord-Brabant","zuid","Veldhoven en Meerveldhoven",1206,"zuidwest"
10072,"Millingen aan de Rijn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Millingen_aan_de_Rijn","http://www.gemeentegeschiedenis.nl/amco/10072","265",2750796,"1954","heden","Gelderland","oost","Millingen",1259,"zuidoost"
10072,"Millingen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Millingen","http://www.gemeentegeschiedenis.nl/amco/10072","1259",0,"oudsher","1954","Gelderland","oost","Millingen",1259,"zuidoost"
10073,"Nieuwe Niedorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwe_Niedorp","http://www.gemeentegeschiedenis.nl/amco/10073","428",0,"oudsher","1970","Noord-Holland","west","Nieuwe-Niedorp",428,"noordwest"
10074,"Biesland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Biesland","http://www.gemeentegeschiedenis.nl/amco/10074","1308",0,"1817","1833","Zuid-Holland","west",NA,NA,NA
10075,"Noord-Scharwoude","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noord-Scharwoude","http://www.gemeentegeschiedenis.nl/amco/10075","1124",0,"1817","1941","Noord-Holland","west","Noord-Scharwoude",1124,"noordwest"
10076,"Goor","http://www.gemeentegeschiedenis.nl/gemeentenaam/Goor","http://www.gemeentegeschiedenis.nl/amco/10076","156",0,"oudsher","2001","Overijssel","oost","Goor",156,"zuidoost"
10076,"Hof van Twente","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hof_van_Twente","http://www.gemeentegeschiedenis.nl/amco/10076","1735",6544289,"2001","heden","Overijssel","oost","Goor",156,"zuidoost"
10077,"Reimerswaal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Reimerswaal","http://www.gemeentegeschiedenis.nl/amco/10077","703",2748254,"1970","heden","Zeeland","west","Kruiningen",685,"zuidwest"
10077,"Kruiningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kruiningen","http://www.gemeentegeschiedenis.nl/amco/10077","685",0,"oudsher","1970","Zeeland","west","Kruiningen",685,"zuidwest"
10078,"Werkendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Werkendam","http://www.gemeentegeschiedenis.nl/amco/10078","870",2744826,"oudsher","heden","Noord-Brabant","zuid","Werkendam",870,"zuidwest"
10079,"Arkel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Arkel","http://www.gemeentegeschiedenis.nl/amco/10079","487",0,"1817","1986","Zuid-Holland","west","Arkel",487,"zuidwest"
10080,"Sappemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sappemeer","http://www.gemeentegeschiedenis.nl/amco/10080","1168",0,"oudsher","1949","Groningen","noord","Sappemeer",1168,"noordoost"
10081,"Waddinxveen [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Waddinxveen_2","http://www.gemeentegeschiedenis.nl/amco/10081","627",2745095,"1870","heden","Zuid-Holland","west","Zuid-Waddinxveen",1239,"zuidwest"
10081,"Zuid-Waddinxveen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuid-Waddinxveen","http://www.gemeentegeschiedenis.nl/amco/10081","1239",0,"1817","1870","Zuid-Holland","west","Zuid-Waddinxveen",1239,"zuidwest"
10081,"Waddinxveen [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Waddinxveen_1","http://www.gemeentegeschiedenis.nl/amco/10081",NA,0,"oudsher","1817","Zuid-Holland","west","Zuid-Waddinxveen",1239,"zuidwest"
10082,"Waarde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Waarde","http://www.gemeentegeschiedenis.nl/amco/10082","721",0,"oudsher","1970","Zeeland","west","Waarde",721,"zuidwest"
