my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
520,rozenprieel,3,3,
521,leidse buurt,4,3,
522,schoten,0,0,
523,rozenprieel,3,3,
524,burgwal,1,2,
525,amsterdamse buurt,1,1,ons doel en streven
526,schoten,0,0,
527,hout,4,3,
528,schoten,0,0,
529,amsterdamse buurt,1,1,
530,rozenprieel,3,3,
531,amsterdamse buurt,1,1,
532,amsterdamse buurt,1,1,
533,burgwal,1,1,
534,burgwal,1,2,
535,amsterdamse buurt,1,1,
536,amsterdamse buurt,1,1,nut door spaarzaamheid
537,rozenprieel,3,3,
538,burgwal,1,2,
539,amsterdamse buurt,1,1,
540,stationsbuurt,6,2,
541,kamp,3,3,
542,kamp,3,3,
543,amsterdamse buurt,1,1,
544,stationsbuurt,6,2,
545,burgwal,1,1,
546,frans hals buurt,6,2,
547,leidse buurt,4,3,
548,frans hals buurt,6,2,
549,vijfhoek,4,3,
550,burgwal,1,2,
551,amsterdamse buurt,1,1,
552,burgwal,1,2,
553,amsterdamse buurt,1,1,
554,rozenprieel,3,3,
555,amsterdamse buurt,1,1,
556,amsterdamse buurt,1,1,
557,heiligland,3,3,
558,amsterdamse buurt,1,1,
559,rozenprieel,3,3,
560,amsterdamse buurt,1,1,
561,burgwal,1,1,
562,amsterdamse buurt,1,1,
563,leidse buurt,4,3,
564,rozenprieel,3,3,
565,heiligland,3,3,
566,amsterdamse buurt,1,1,ons doel en streven
567,amsterdamse buurt,1,1,nut door spaarzaamheid
568,burgwal,1,2,
569,rozenprieel,3,3,
570,heiligland,3,3,
571,burgwal,1,2,
572,leidse buurt,4,3,
573,amsterdamse buurt,1,1,
575,amsterdamse buurt,1,1,
576,amsterdamse buurt,1,1,
577,burgwal,1,2,
578,stationsbuurt,6,2,
579,burgwal,1,2,
580,hout,3,3,
581,leidse buurt,4,3,
582,amsterdamse buurt,1,1,ons doel en streven
583,schoten,0,0,
584,bakenes,2,2,
585,rozenprieel,3,3,
586,leidse buurt,4,3,
587,rozenprieel,3,3,
588,leidse buurt,4,3,
589,amsterdamse buurt,1,1,
590,kamp,3,3,
591,bakenes,2,2,
592,leidse buurt,4,3,
593,rozenprieel,3,3,
594,burgwal,1,1,
595,amsterdamse buurt,1,2,
596,vijfhoek,4,3,
597,vijfhoek,4,3,
598,kamp,3,3,
599,haarlemmerliede,0,0,
600,centrum,5,1,
601,vijfhoek,4,3,
602,amsterdamse buurt,1,1,
603,amsterdamse buurt,1,1,
604,amsterdamse buurt,1,1,
605,rozenprieel,3,3,
606,vijfhoek,4,3,
607,leidse buurt,4,3,
608,amsterdamse buurt,1,1,
609,amsterdamse buurt,1,1,
610,frans hals buurt,6,2,
611,hout,4,3,
612,amsterdamse buurt,1,1,
613,schoten,0,0,
614,rozenprieel,3,3,
615,rozenprieel,3,3,
616,leidse buurt,4,3,
617,centrum,5,2,
618,centrum,5,1,
619,burgwal,1,1,
620,rozenprieel,3,3,
621,rozenprieel,3,3,
622,amsterdamse buurt,1,1,
623,amsterdamse buurt,1,1,
624,amsterdamse buurt,1,1,ons doel en streven
625,burgwal,1,1,
626,stationsbuurt,6,2,
627,amsterdamse buurt,1,1,
628,burgwal,1,1,
629,burgwal,1,1,
630,burgwal,1,2,
631,bakenes,2,2,
632,heiligland,3,3,
633,bakenes,2,2,
634,amsterdamse buurt,1,1,
635,amsterdamse buurt,1,1,nut door spaarzaamheid
636,zijlweg,5,1,
637,burgwal,1,1,
638,amsterdamse buurt,1,1,
639,amsterdamse buurt,1,1,
641,leidse buurt,4,3,
642,burgwal,1,1,
643,burgwal,1,1,
644,burgwal,1,2,
645,rozenprieel,3,3,
646,amsterdamse buurt,1,1,
647,rozenprieel,3,3,
648,burgwal,1,2,
649,burgwal,1,1,
650,vijfhoek,4,3,
651,rozenprieel,3,3,
652,burgwal,1,1,
653,amsterdamse buurt,1,1,
654,amsterdamse buurt,1,1,
655,vijfhoek,4,1,
656,amsterdamse buurt,1,1,
