naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Middelie,http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelie,http://www.gemeentegeschiedenis.nl/amco/10452,10452,421,0,oudsher,1970,Noord-Holland
Midwoud,http://www.gemeentegeschiedenis.nl/gemeentenaam/Midwoud,http://www.gemeentegeschiedenis.nl/amco/10924,10924,422,0,1817,1979,Noord-Holland
Monnickendam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Monnickendam,http://www.gemeentegeschiedenis.nl/amco/10983,10983,423,0,oudsher,1991,Noord-Holland
Muiden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Muiden,http://www.gemeentegeschiedenis.nl/amco/10958,10958,424,2750568,oudsher,heden,Noord-Holland
Naarden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Naarden,http://www.gemeentegeschiedenis.nl/amco/10187,10187,425,2750520,oudsher,heden,Noord-Holland
Nederhorst den Berg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nederhorst_den_Berg,http://www.gemeentegeschiedenis.nl/amco/10715,10715,426,0,oudsher,2002,Noord-Holland
Nibbixwoud,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nibbixwoud,http://www.gemeentegeschiedenis.nl/amco/10091,10091,427,0,oudsher,1979,Noord-Holland
Niedorp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Niedorp,http://www.gemeentegeschiedenis.nl/amco/10923,10923,412,0,1970,heden,Noord-Holland
Nieuwendam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwendam,http://www.gemeentegeschiedenis.nl/amco/10177,10177,1120,0,oudsher,1921,Noord-Holland
Nieuwe Niedorp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwe_Niedorp,http://www.gemeentegeschiedenis.nl/amco/10073,10073,428,0,oudsher,1970,Noord-Holland
Nieuwer-Amstel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwer-Amstel,http://www.gemeentegeschiedenis.nl/amco/10799,10799,1249,0,oudsher,1964,Noord-Holland
Noorder-Koggenland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noorder-Koggenland,http://www.gemeentegeschiedenis.nl/amco/10924,10924,529,0,1979,2007,Noord-Holland
Noord-Scharwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noord-Scharwoude,http://www.gemeentegeschiedenis.nl/amco/10075,10075,1124,0,1817,1941,Noord-Holland
Obdam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Obdam,http://www.gemeentegeschiedenis.nl/amco/11338,11338,429,0,oudsher,2007,Noord-Holland
