naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Maasbree,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasbree,http://www.gemeentegeschiedenis.nl/amco/11352,11352,934,0,1818,2010,Limburg
Maasgouw,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasgouw,http://www.gemeentegeschiedenis.nl/amco/10964,10964,1641,6544244,2007,heden,Limburg
Maasniel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasniel,http://www.gemeentegeschiedenis.nl/amco/11261,11261,1110,0,oudsher,1959,Limburg
Maastricht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maastricht,http://www.gemeentegeschiedenis.nl/amco/10182,10182,935,2751282,oudsher,heden,Limburg
Margraten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Margraten,http://www.gemeentegeschiedenis.nl/amco/11243,11243,936,0,oudsher,2011,Limburg
Meerlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerlo,http://www.gemeentegeschiedenis.nl/amco/11416,11416,937,0,oudsher,1969,Limburg
Meerlo-Wanssum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerlo-Wanssum,http://www.gemeentegeschiedenis.nl/amco/11416,11416,993,0,1969,2010,Limburg
Meerssen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerssen,http://www.gemeentegeschiedenis.nl/amco/10494,10494,938,2751036,oudsher,heden,Limburg
Meijel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meijel,http://www.gemeentegeschiedenis.nl/amco/10925,10925,941,0,oudsher,2010,Limburg
Melick en Herkenbosch,http://www.gemeentegeschiedenis.nl/gemeentenaam/Melick_en_Herkenbosch,http://www.gemeentegeschiedenis.nl/amco/10196,10196,939,0,oudsher,1993,Limburg
Merkelbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Merkelbeek,http://www.gemeentegeschiedenis.nl/amco/10763,10763,940,0,oudsher,1982,Limburg
Mesch,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mesch,http://www.gemeentegeschiedenis.nl/amco/11070,11070,1114,0,oudsher,1943,Limburg
Mheer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mheer,http://www.gemeentegeschiedenis.nl/amco/10538,10538,942,0,oudsher,1982,Limburg
Montfort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Montfort,http://www.gemeentegeschiedenis.nl/amco/10266,10266,943,0,oudsher,1991,Limburg
Mook en Middelaar,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mook_en_Middelaar,http://www.gemeentegeschiedenis.nl/amco/10271,10271,944,2750620,oudsher,heden,Limburg
Munstergeleen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Munstergeleen,http://www.gemeentegeschiedenis.nl/amco/10273,10273,945,0,oudsher,1982,Limburg
Nederweert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nederweert,http://www.gemeentegeschiedenis.nl/amco/10681,10681,946,2750466,oudsher,heden,Limburg
Neer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Neer,http://www.gemeentegeschiedenis.nl/amco/10682,10682,947,0,oudsher,1991,Limburg
Neeritter,http://www.gemeentegeschiedenis.nl/gemeentenaam/Neeritter,http://www.gemeentegeschiedenis.nl/amco/11001,11001,1116,0,oudsher,1942,Limburg
Nieuwenhagen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwenhagen,http://www.gemeentegeschiedenis.nl/amco/10088,10088,948,0,oudsher,1982,Limburg
Nieuwstadt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwstadt,http://www.gemeentegeschiedenis.nl/amco/11140,11140,949,0,oudsher,1982,Limburg
Noorbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noorbeek,http://www.gemeentegeschiedenis.nl/amco/10283,10283,950,0,oudsher,1982,Limburg
Nunhem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nunhem,http://www.gemeentegeschiedenis.nl/amco/10736,10736,1130,0,oudsher,1942,Limburg
Nuth,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuth,http://www.gemeentegeschiedenis.nl/amco/10104,10104,951,2749752,oudsher,heden,Limburg
Obbicht en Papenhoven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Obbicht_en_Papenhoven,http://www.gemeentegeschiedenis.nl/amco/10388,10388,952,0,oudsher,1982,Limburg
Ohé en Laak,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ohe_en_Laak,http://www.gemeentegeschiedenis.nl/amco/10420,10420,953,0,oudsher,1991,Limburg
Oirsbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oirsbeek,http://www.gemeentegeschiedenis.nl/amco/10504,10504,954,0,oudsher,1982,Limburg
Onderbanken,http://www.gemeentegeschiedenis.nl/gemeentenaam/Onderbanken,http://www.gemeentegeschiedenis.nl/amco/10492,10492,881,6544298,1982,heden,Limburg
Oost,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oost,http://www.gemeentegeschiedenis.nl/amco/11442,11442,,0,oudsher,1828,Limburg
Ottersum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ottersum,http://www.gemeentegeschiedenis.nl/amco/10862,10862,955,0,oudsher,1973,Limburg
Oud-Valkenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oud-Valkenburg,http://www.gemeentegeschiedenis.nl/amco/10868,10868,1140,0,oudsher,1940,Limburg
Oud-Vroenhoven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oud-Vroenhoven,http://www.gemeentegeschiedenis.nl/amco/11348,11348,1141,0,1839,1920,Limburg
Peel en Maas,http://www.gemeentegeschiedenis.nl/gemeentenaam/Peel_en_Maas,http://www.gemeentegeschiedenis.nl/amco/10205,10205,1894,7535502,2010,heden,Limburg
Pol en Panheel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Pol_en_Panheel,http://www.gemeentegeschiedenis.nl/amco/10969,10969,,0,oudsher,1821,Limburg
Posterholt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Posterholt,http://www.gemeentegeschiedenis.nl/amco/10456,10456,956,0,oudsher,1994,Limburg
Rijckholt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijckholt,http://www.gemeentegeschiedenis.nl/amco/10824,10824,1165,0,oudsher,1943,Limburg
Rimburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rimburg,http://www.gemeentegeschiedenis.nl/amco/10020,10020,1162,0,oudsher,1887,Limburg
Roerdalen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roerdalen,http://www.gemeentegeschiedenis.nl/amco/10196,10196,1669,6544264,1993,heden,Limburg
Roermond,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roermond,http://www.gemeentegeschiedenis.nl/amco/11313,11313,957,2747999,oudsher,heden,Limburg
Roggel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roggel,http://www.gemeentegeschiedenis.nl/amco/10505,10505,958,0,oudsher,1993,Limburg
Roggel en Neer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roggel_en_Neer,http://www.gemeentegeschiedenis.nl/amco/10505,10505,1670,0,1993,2007,Limburg
Roosteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roosteren,http://www.gemeentegeschiedenis.nl/amco/10954,10954,959,0,oudsher,1982,Limburg
Schaesberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schaesberg,http://www.gemeentegeschiedenis.nl/amco/11335,11335,960,0,oudsher,1982,Limburg
Schimmert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schimmert,http://www.gemeentegeschiedenis.nl/amco/11076,11076,961,0,oudsher,1982,Limburg
Schinnen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schinnen,http://www.gemeentegeschiedenis.nl/amco/10132,10132,962,2747552,oudsher,heden,Limburg
Schin op Geul,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schin_op_Geul,http://www.gemeentegeschiedenis.nl/amco/10780,10780,1171,0,oudsher,1940,Limburg
Schinveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schinveld,http://www.gemeentegeschiedenis.nl/amco/10492,10492,963,0,oudsher,1982,Limburg
Sevenum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sevenum,http://www.gemeentegeschiedenis.nl/amco/10045,10045,964,0,1836,2010,Limburg
Simpelveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Simpelveld,http://www.gemeentegeschiedenis.nl/amco/10515,10515,965,2747311,oudsher,heden,Limburg
Sint Geertruid,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Geertruid,http://www.gemeentegeschiedenis.nl/amco/10288,10288,966,0,1828,1982,Limburg
Sint Odiliënberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Odilienberg,http://www.gemeentegeschiedenis.nl/amco/10278,10278,967,0,oudsher,1991,Limburg
Sint Pieter,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Pieter,http://www.gemeentegeschiedenis.nl/amco/10137,10137,1180,0,oudsher,1920,Limburg
Sittard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sittard,http://www.gemeentegeschiedenis.nl/amco/11230,11230,968,0,oudsher,2001,Limburg
Sittard-Geleen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sittard-Geleen,http://www.gemeentegeschiedenis.nl/amco/11230,11230,1883,6544255,2001,heden,Limburg
Slenaken,http://www.gemeentegeschiedenis.nl/gemeentenaam/Slenaken,http://www.gemeentegeschiedenis.nl/amco/11274,11274,969,0,oudsher,1982,Limburg
Spaubeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spaubeek,http://www.gemeentegeschiedenis.nl/amco/10552,10552,970,0,oudsher,1982,Limburg
Stein [Li],http://www.gemeentegeschiedenis.nl/gemeentenaam/Stein_Li,http://www.gemeentegeschiedenis.nl/amco/11319,11319,971,2746746,oudsher,heden,Limburg
Stevensweert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stevensweert,http://www.gemeentegeschiedenis.nl/amco/11203,11203,972,0,oudsher,1991,Limburg
Stramproy,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stramproy,http://www.gemeentegeschiedenis.nl/amco/11186,11186,973,0,oudsher,1998,Limburg
Strucht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Strucht,http://www.gemeentegeschiedenis.nl/amco/11034,11034,1200,0,oudsher,1879,Limburg
Susteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Susteren,http://www.gemeentegeschiedenis.nl/amco/10457,10457,974,0,oudsher,2003,Limburg
