naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Vlieland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlieland,http://www.gemeentegeschiedenis.nl/amco/10211,10211,96,2745417,oudsher,heden,Friesland
Vrouwenparochie,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vrouwenparochie,http://www.gemeentegeschiedenis.nl/amco/10614,10614,,0,oudsher,1816,Friesland
Westdongeradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Westdongeradeel,http://www.gemeentegeschiedenis.nl/amco/10129,10129,97,0,1816,1984,Friesland
Weststellingwerf,http://www.gemeentegeschiedenis.nl/gemeentenaam/Weststellingwerf,http://www.gemeentegeschiedenis.nl/amco/11322,11322,98,2744609,1816,heden,Friesland
Wirdum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wirdum,http://www.gemeentegeschiedenis.nl/amco/10738,10738,,0,oudsher,1816,Friesland
Witmarsum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Witmarsum,http://www.gemeentegeschiedenis.nl/amco/10454,10454,,0,oudsher,1816,Friesland
Wolvega,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wolvega,http://www.gemeentegeschiedenis.nl/amco/11055,11055,,0,oudsher,1816,Friesland
Wommels,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wommels,http://www.gemeentegeschiedenis.nl/amco/11290,11290,,0,oudsher,1816,Friesland
Wonseradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wonseradeel,http://www.gemeentegeschiedenis.nl/amco/10454,10454,99,0,1816,1987,Friesland
Workum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Workum,http://www.gemeentegeschiedenis.nl/amco/10768,10768,100,0,oudsher,1984,Friesland
Woudsend,http://www.gemeentegeschiedenis.nl/gemeentenaam/Woudsend,http://www.gemeentegeschiedenis.nl/amco/11427,11427,,0,oudsher,1816,Friesland
Wûnseradiel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wunseradiel,http://www.gemeentegeschiedenis.nl/amco/10454,10454,710,0,1987,2011,Friesland
Wymbritseradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wymbritseradeel,http://www.gemeentegeschiedenis.nl/amco/11427,11427,101,0,1816,1986,Friesland
Wymbritseradiel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wymbritseradiel,http://www.gemeentegeschiedenis.nl/amco/11427,11427,683,0,1986,heden,Friesland
