naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Mill en Sint Hubert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mill_en_Sint_Hubert,http://www.gemeentegeschiedenis.nl/amco/10535,10535,815,2750800,oudsher,heden,Noord-Brabant
Moerdijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Moerdijk,http://www.gemeentegeschiedenis.nl/amco/10046,10046,1709,6251995,1998,heden,Noord-Brabant
Moergestel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Moergestel,http://www.gemeentegeschiedenis.nl/amco/11191,11191,816,0,oudsher,1997,Noord-Brabant
Nederwetten en Eckart,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nederwetten_en_Eckart,http://www.gemeentegeschiedenis.nl/amco/11361,11361,,0,oudsher,1821,Noord-Brabant
Nieuw-Ginneken,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Ginneken,http://www.gemeentegeschiedenis.nl/amco/10406,10406,817,0,1942,1997,Noord-Brabant
Nieuwkuyk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwkuyk,http://www.gemeentegeschiedenis.nl/amco/11278,11278,1123,0,oudsher,1935,Noord-Brabant
Nieuw-Vossemeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Vossemeer,http://www.gemeentegeschiedenis.nl/amco/10401,10401,818,0,oudsher,1997,Noord-Brabant
Nistelrode,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nistelrode,http://www.gemeentegeschiedenis.nl/amco/10094,10094,819,0,oudsher,1994,Noord-Brabant
Nuenen en Gerwen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen_en_Gerwen,http://www.gemeentegeschiedenis.nl/amco/10761,10761,,0,oudsher,1821,Noord-Brabant
"Nuenen, Gerwen en Nederwetten",http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen__Gerwen_en_Nederwetten,http://www.gemeentegeschiedenis.nl/amco/10761,10761,820,2749779,1821,heden,Noord-Brabant
